precinct,count(),SUM(P0010001)
,538,0
1,413,66679
5,199,52568
6,206,62226
7,174,56355
9,147,76443
10,147,50180
13,197,93640
14,119,20651
17,167,79126
18,182,54066
19,330,208259
20,146,102624
22,52,25
23,135,73106
24,158,106460
25,155,47405
26,114,49508
28,102,44781
30,111,60685
32,126,70942
33,173,77645
34,217,112375
40,387,91497
41,283,52246
42,268,79762
43,597,172122
44,353,146441
45,933,120833
46,252,128200
47,746,152374
48,322,83266
49,574,114712
50,413,101720
52,290,139307
60,405,104278
61,833,159645
62,573,181981
63,614,108646
66,541,191382
67,532,155252
68,570,124491
69,405,84480
70,453,160664
71,207,98429
72,415,126230
73,326,86468
75,859,183328
76,302,43694
77,211,96309
78,225,61099
79,205,90263
81,177,62722
83,335,112634
84,289,48196
88,274,51421
90,497,116836
94,418,56247
100,663,47913
101,377,67065
102,717,144008
103,667,105803
104,1049,170190
105,1956,188582
106,941,122441
107,931,151107
108,875,113200
109,1581,247354
110,696,172634
111,1325,116431
112,527,112277
113,1108,120132
114,828,202766
115,521,171576
120,1584,175876
122,2199,194822
123,1211,98032
